w2,loved MAP,played MAP,related MAP,loved P@K,played P@K,related P@K,loved R@K,played R@K,related R@K
0,0.7343154427757477,0.8571839250987955,0.8223598660257663,0.0089792531120332,0.012796680497925317,0.020713692946058078,0.02412807711005409,0.033622044018549284,0.0394594034027407
1,0.7985143955067411,0.7464190580312761,0.7511806430540062,0.015751037344398346,0.010605809128630713,0.024813278008298745,0.04403835176709351,0.02700259784031791,0.040120701168799705
2,0.8682841652124443,0.7881036090171447,0.8030850433554868,0.035618257261410755,0.023136929460580886,0.05563485477178411,0.09655505797394294,0.0496566921124551,0.08090279104681639
3,0.8901458613014324,0.7865659891494509,0.8068231673225026,0.04104564315352691,0.025875518672199133,0.06278838174273849,0.11725792260964242,0.05546773809929279,0.09186639523912818
4,0.8924323633155774,0.7752284946109245,0.7992123334897663,0.04164315352697088,0.02605809128630701,0.0634356846473028,0.11928051166777355,0.05268537695806226,0.0903959186196347
5,0.8928014805294273,0.7664926309907781,0.7933013403797842,0.041742738589211535,0.025659751037344358,0.0631369294605808,0.12028252124520386,0.05184973107105123,0.08974193846556006
6,0.892677866114326,0.7606894671758868,0.7892166902360309,0.04172614107883809,0.025443983402489594,0.0629045643153526,0.12365657279958138,0.051510390172773465,0.08941970108861799
7,0.8931384920615507,0.7562699083473586,0.7864487126689367,0.04165975103734432,0.024912863070539387,0.06237344398340239,0.12345853497505534,0.05049402246125991,0.08840210696985058
8,0.8938802889821148,0.7529061224877037,0.784240385469023,0.04172614107883809,0.024564315352697066,0.062157676348547616,0.1232383466548929,0.049620542520272905,0.08770235574723716
9,0.8943011887256449,0.7502091364493613,0.7825224524811959,0.04167634854771775,0.02436514522821574,0.061908713692945955,0.12317585759485443,0.04900681784015819,0.0870535665557739
10,0.8945667204091645,0.7480657189863927,0.781152808651255,0.04169294605809119,0.024232365145228186,0.061792531120331846,0.12353208005259973,0.04869561452065611,0.08677944289778357
11,0.8950471001798797,0.7461183564669366,0.7799025928417201,0.041726141078838076,0.02416597510373441,0.06174273858921151,0.12918356865142339,0.04844644230052953,0.0865758087749172
12,0.8954769689083731,0.7447658278969013,0.7791253497995395,0.041726141078838076,0.024033195020746852,0.061609958506223965,0.129762057318065,0.048113859122658864,0.08625989353155217
13,0.8956250985728719,0.743433589634264,0.7783018410496343,0.04169294605809119,0.02396680497925308,0.0615103734439833,0.12965110735432317,0.04776116202722317,0.08588570065246617
14,0.8958050386630545,0.7420485864277608,0.7774378243748348,0.04167634854771774,0.023917012448132744,0.06144398340248952,0.12950607472198086,0.04763668069942235,0.0857456611918707
15,0.8958594643710915,0.7406073339394535,0.7764365251839748,0.041659751037344296,0.023834024896265526,0.06134439834024886,0.12948400453879835,0.047325477379920274,0.0854317435491256
16,0.8959133689760345,0.7396258719770205,0.7758236264928443,0.04170954356846463,0.023717842323651418,0.06127800829875507,0.1296755281871748,0.047034601819335164,0.08520115369338213
17,0.8960045508771787,0.7384939226575684,0.7750796655379356,0.04170954356846463,0.023651452282157644,0.0612116182572613,0.1296755281871748,0.04691012049153434,0.08507703428786688
18,0.896035075952004,0.7378264931848207,0.7747031306903653,0.041726141078838076,0.023618257261410754,0.06119502074688785,0.13068021385683506,0.04670265161186629,0.08489678241460823
19,0.8961491739757629,0.7367327967116526,0.7738814993965836,0.041726141078838076,0.02355186721991698,0.06112863070539408,0.13068021385683506,0.04645368895626463,0.08466005192724296
20,0.8962312019561589,0.7360862350145404,0.7735032381754222,0.041726141078838076,0.023535269709543536,0.061112033195020635,0.13318675608970704,0.04637070140439741,0.08458799625733233
21,0.8962203197392052,0.7354127046812163,0.773045676953554,0.04170954356846463,0.023468879668049766,0.061029045643153416,0.1327962836180163,0.04610099186082895,0.08430431633959927
22,0.8962919338779217,0.7344134731479679,0.772293182916441,0.04170954356846463,0.023419087136929428,0.06097925311203308,0.1327962836180163,0.0458935229811609,0.08410433166847253
23,0.8963263604453523,0.7338751703962586,0.7719353777566097,0.04170954356846463,0.023385892116182545,0.0609460580912862,0.1327962836180163,0.04562084959645432,0.08383853323921199
24,0.8963668268065115,0.7331930398562874,0.7714315585171845,0.04170954356846463,0.023385892116182545,0.0609460580912862,0.1327962836180163,0.04562084959645432,0.08383853323921199
25,0.8963890459203245,0.7321803600889379,0.7706076767310532,0.04170954356846463,0.023352697095435655,0.060912863070539315,0.1327962836180163,0.045392633828819466,0.08361763532324273
