n_components,loved MAP,played MAP,related MAP,loved P@K,played P@K,related P@K,loved R@K,played R@K,related R@K,users var,tracks var
1,0.7938299582030909,0.6646683583591121,0.6906231600365249,0.021095435684647296,0.014655601659751048,0.033643153526970886,0.05351955800042648,0.027937749292341274,0.04668718945680767,0.08578730602264453,0.0008272521002148604
2,0.8297094110320802,0.7141382569914976,0.7363210784534673,0.026522821576763465,0.01751037344398341,0.041626556016597434,0.06685669803719103,0.033879971426467405,0.057574064611088854,0.08417034856008711,0.0006501503281754285
3,0.8613869599385481,0.7581084477524869,0.7779903254621743,0.031502074688796636,0.021493775933609946,0.05009128630705382,0.08450843418692112,0.042081556955434016,0.07028555968709002,0.0811770954721342,0.0005668558069688994
4,0.8663793081196167,0.767896397187304,0.7875528488070873,0.032282157676348504,0.0221908713692946,0.051452282157676256,0.09199478087560636,0.04380638990906258,0.07265313636003888,0.07232257172475817,0.0005706318789498734
5,0.8740082439554403,0.7748477242686221,0.7940703626675901,0.03487136929460576,0.023668049792531082,0.05531950207468871,0.09996162940902403,0.05016341976099497,0.08074326732519613,0.06585439147370489,0.0005620670276169691
6,0.8797102567610999,0.781583659214858,0.8006241154976157,0.03829045643153519,0.025045643153526934,0.059485477178423146,0.1080380493158,0.053576409698123266,0.08733259813539258,0.061148403207635336,0.0005601225126791024
7,0.8803654766024926,0.7819244892357802,0.8009884654587907,0.038307053941908635,0.025045643153526927,0.05951867219917004,0.10853434699146747,0.05359705233037164,0.08737072328688038,0.058862142906532945,0.0005484480275638889
8,0.8752980123964037,0.7781510384075101,0.797436718730354,0.0376929460580912,0.024365145228215725,0.058257261410788276,0.1077387470768839,0.04853270842356851,0.08246971035151768,0.05216165205977793,0.0005848468533693325
9,0.8882203929706226,0.7909119873487275,0.8094816340363271,0.04043153526970946,0.026224066390041434,0.0625560165975103,0.11527073826737434,0.05619618122864089,0.09192310365442992,0.04986392476980695,0.0005964565838827391
10,0.8871432563466907,0.7905360418628465,0.8091832709787937,0.04066390041493769,0.026672199170124422,0.0631535269709543,0.1162546618506972,0.05706136443057884,0.09301534441615199,0.04962635420121681,0.0005702951205969081
11,0.8875355231441227,0.7915456868872135,0.8102374366823955,0.041112033195020665,0.026688796680497867,0.06358506224066382,0.11740736355269708,0.05691736151121948,0.09328191099844842,0.047545913205230016,0.0005815584926718324
12,0.8910786609748014,0.7935796224928914,0.8123453222267764,0.04028215767634847,0.026124481327800788,0.062373443983402416,0.11617969173187788,0.05610700980456941,0.0917142553741527,0.044899223525885275,0.0006018036946616019
13,0.8918273126151298,0.7967622972655256,0.8150701787356844,0.0417261410788381,0.0273029045643153,0.06473029045643144,0.11921812454910756,0.05886211706857479,0.09569515813753775,0.04180688126609397,0.00064611826327393
14,0.890445566016388,0.7954223885207885,0.8139003218667661,0.04358506224066382,0.02720331950207464,0.06632365145228207,0.12108131769502026,0.05894127481097921,0.09758203013255567,0.04143627092123295,0.000622519306128382
15,0.8934787439463724,0.7973962671712176,0.8159306766059282,0.04182572614107877,0.02713692946058086,0.06461410788381731,0.11771620256191602,0.05850046613168985,0.09544723239239222,0.03925845190059628,0.0006749985109047683
16,0.8965325664662588,0.7998637619752966,0.8182466510507516,0.042771784232365065,0.027136929460580855,0.06549377593360986,0.12190816656852758,0.05850829044326997,0.09638748942922586,0.038588256622353274,0.0006707378732345668
17,0.8958023968947638,0.7979270555310264,0.8167655497135105,0.04199170124481321,0.027402489626555972,0.06502904564315344,0.11970224981206826,0.05941693809916405,0.09643473998758954,0.03457951415385938,0.000725191963409289
18,0.8981946298789883,0.8033472607924468,0.82182777100141,0.04212448132780076,0.027253112033194967,0.06506224066390032,0.11899635260527919,0.05889615942717363,0.09611926521143427,0.03679099371509644,0.0006983879654437467
19,0.8968735640968294,0.8000973949207374,0.8185853886760361,0.04534439834024888,0.027634854771784182,0.0684481327800829,0.12321591362134279,0.06022882676283616,0.10048989618165884,0.0317444322131954,0.0007999243482803128
20,0.9003661852890166,0.8047713290725,0.8227380033769642,0.043834024896265485,0.028663900414937705,0.06798340248962645,0.12650311089537808,0.0625623048936925,0.10124713231759866,0.03426037260978754,0.0007518843640246263
